STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 32669632
stream 32645626
stream 32648247
stream 32594901
stream 32557111
stream 32605714
stream 32556300
stream 32656887
stream 32678906
stream 32501233
stream 32654510
stream 32637486
stream 32646793
stream 32629617
stream 32620919
stream 32610566
stream 32648122
stream 32661970
stream 32636882
stream 32680771
stream 32607793
stream 32611517
stream 32553536
stream 32675408
stream 32612760
stream 32685349
stream 32581391
stream 32681597
stream 32605169
stream 32647954
stream 32658173
stream 32608823
stream 32636971
stream 32532056
stream 32620474
stream 32574153
stream 32645282
stream 32573129
stream 32645991
stream 32640259
stream 32606266
stream 32631604
stream 32588458
stream 32665841
stream 32591235
stream 32681006
stream 32588444
stream 32659456
stream 32609682
stream 32647750
stream 32685958
stream 32646772
stream 32655824
stream 32621745
stream 32805410
stream 32564358
stream 32669412
stream 32621385
stream 32704908
stream 32684751
stream 32625521
stream 32641250
stream 32661026
stream 32667355
stream 32533876
stream 32664537
stream 32596977
stream 32670364
stream 32617021
stream 32666149
stream 32713892
stream 32597187
stream 32616092
stream 32626304
stream 32651761
stream 32611356
stream 32700215
stream 32600351
stream 32652325
stream 32674984
stream 32549501
stream 32614656
stream 32647732
stream 32655272
stream 32615412
stream 32618798
stream 32576890
stream 32677732
stream 32607771
stream 32649533
stream 32713116
stream 32605885
stream 32637022
stream 32643465
stream 32621510
stream 32588020
stream 32646226
stream 32547965
stream 32616997
stream 32631006
stream 32588538
stream 33060706
stream 32673743
stream 32667502
stream 32621638
stream 32704512
stream 32572252
stream 32664333
stream 32608801
stream 32638236
stream 32598498
stream 32619889
stream 32652438
stream 32582839
stream 32677230
stream 32541135
stream 32641996
stream 32603377
stream 32649463
stream 32678428
stream 32634029
stream 32640676
stream 32582458
stream 32670818
stream 32547090
stream 32614568
stream 32596361
stream 32634972
stream 32574519
stream 32664640
stream 32563194
stream 32597818
stream 32608311
stream 32616555
stream 32657076
stream 32609960
stream 32602993
stream 32595785
stream 32695159
stream 32603429
stream 32663994
stream 32615049
stream 32596806
stream 32689884
