STREAM COPY
TSC frequency: 3.20 GHz
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 32920073
stream 32887074
stream 32984253
stream 32975530
stream 32868276
stream 32959028
stream 32873408
stream 32962265
stream 32863192
stream 32989312
stream 32992088
stream 32893355
stream 32983165
stream 32833701
stream 32952253
stream 32863415
stream 32944207
stream 32894068
stream 32894824
stream 32943708
stream 32872467
stream 32958314
stream 32935110
stream 32901263
stream 32913560
stream 32873768
stream 32908569
stream 32846211
stream 32963340
stream 32908700
stream 32939907
stream 32903704
stream 32876715
stream 32960930
stream 32873819
stream 32929119
stream 32891806
stream 32929371
stream 32895546
stream 32885928
stream 32917769
stream 32936355
stream 32927799
stream 32849064
stream 32957583
stream 32913286
stream 32896829
stream 33001280
stream 32874480
stream 32955648
stream 32872262
stream 32914115
stream 32954892
stream 32899840
stream 32935784
stream 32863445
stream 32961606
stream 32869931
stream 32999320
stream 32918166
stream 32877330
stream 32974552
stream 32869181
stream 32947974
stream 32842463
stream 32931883
stream 32962331
stream 32901084
stream 32914466
stream 32867319
stream 32955213
stream 32885690
stream 32973461
stream 32958555
stream 32878759
stream 32914021
stream 32876519
stream 32999003
stream 32913753
stream 32958622
stream 32935159
stream 32862568
stream 33017361
stream 32879814
stream 32953884
stream 32885940
stream 32964742
stream 32921152
stream 32904533
stream 32947983
stream 32805266
stream 33193684
stream 33056421
stream 33039278
stream 32927449
stream 32912396
stream 32940699
stream 32892739
stream 32964711
stream 32891632
stream 32991312
stream 32949343
stream 32888259
stream 33016864
stream 32873009
stream 32966199
stream 32949523
stream 32912104
stream 32908395
stream 32849722
stream 32971846
stream 32852782
stream 32955776
stream 32901940
stream 32900669
stream 32897082
stream 32863049
stream 32920171
stream 32864171
stream 32947980
stream 32939304
stream 32931005
stream 32912871
stream 32888759
stream 32982949
stream 32880841
stream 32924007
stream 32956181
stream 32929024
stream 32905316
stream 32876196
stream 32977725
stream 32915547
stream 32962137
stream 32938893
stream 32930554
stream 32921274
stream 33297405
stream 32993335
stream 32927650
stream 32938459
stream 32932212
stream 32939133
stream 32939715
stream 32865508
stream 32916337
stream 32887119
stream 32936954
stream 32941839
stream 32899858
stream 32940983
stream 32881844
stream 32930527
stream 32919013
stream 32908961
stream 32919281
stream 32924928
stream 32919192
stream 32875614
stream 32926666
stream 32840113
stream 32894979
stream 32984604
stream 32866456
stream 32932361
stream 32895037
stream 32946215
stream 32906621
stream 32939989
stream 32935436
stream 32889310
stream 33058865
stream 32943978
stream 32938633
stream 32862013
stream 32951037
stream 32963511
stream 32891678
stream 32952884
stream 32828532
stream 32936491
stream 32889362
stream 33001646
stream 32888777
stream 32886519
stream 32943820
stream 32872859
stream 32987728
stream 32874963
stream 32963313
stream 32927701
stream 32881308
stream 32980989
stream 32860858
stream 32932461
stream 32882438
stream 32939301
stream 32933410
stream 32897152
stream 32904695
stream 32890523
stream 32930911
stream 32866896
stream 32963658
stream 32923943
stream 32868154
stream 32938170
stream 32898475
stream 32951308
stream 32882189
stream 32977165
stream 32919792
stream 32890438
stream 32954222
stream 32864402
stream 32926628
stream 32829388
stream 32956989
stream 32921302
stream 32937365
stream 32954752
stream 32896439
stream 32969088
stream 32869315
stream 32968762
stream 32966976
stream 32960942
stream 32925592
stream 32907657
stream 33000351
stream 32877891
stream 32969433
stream 33008877
stream 32854178
stream 32965403
stream 32900013
stream 32957388
stream 32970086
stream 32941150
stream 32931947
stream 32914298
stream 32958336
stream 32864506
stream 32934095
stream 32835666
stream 32969079
stream 32901035
stream 32847052
stream 32933562
stream 32953681
stream 32984481
stream 32877358
stream 32922609
stream 32937067
stream 32919909
stream 32930892
stream 32906054
stream 32978429
stream 32913079
stream 32928429
stream 32951909
stream 32908714
stream 32962530
stream 32864902
stream 32944314
stream 32938676
stream 32887210
stream 32897698
stream 32913176
stream 32941062
stream 32885312
stream 32927915
stream 32954249
stream 32903924
stream 32915877
stream 32865655
stream 32953661
stream 32888232
stream 32941016
stream 32919665
stream 32897390
stream 32989755
stream 32914106
stream 32954471
stream 32890722
stream 32930721
stream 32957748
stream 32862315
stream 32944600
stream 32901824
stream 32920445
stream 32829522
stream 32959068
stream 32924523
stream 32913969
stream 32979993
stream 32913271
stream 32894665
stream 32881247
stream 32941782
stream 32892974
stream 32919595
stream 32921731
stream 32850664
stream 32933629
stream 32903948
stream 32923801
stream 32951823
stream 32889249
stream 32886708
stream 32899325
stream 32936637
stream 32840615
stream 32939562
stream 32906125
stream 32894793
stream 32977661
stream 32872018
stream 32988273
stream 32905350
stream 32930176
stream 32902885
stream 36815197
stream 34469899
stream 33571999
stream 33022115
stream 32954618
stream 32883684
stream 32925668
stream 32946600
stream 32894650
stream 32967524
stream 32859636
stream 33441728
stream 32969743
stream 32965159
stream 32926446
stream 32967247
stream 32926032
stream 32895436
stream 32956471
stream 32868889
stream 32960841
stream 32905365
stream 32917711
stream 33011707
stream 32935226
stream 32939243
stream 32929106
stream 32864028
stream 32917236
stream 32895677
stream 32963901
stream 32831939
stream 32924477
stream 32891246
stream 32923236
stream 32907413
stream 32901653
stream 32906972
stream 32871616
stream 33026619
stream 32846379
stream 32911577
stream 32920103
