STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 35781229
stream 35115141
stream 34607702
stream 34003392
stream 33628319
stream 33056699
stream 32654349
stream 32656052
stream 32616466
stream 32677081
stream 32613419
stream 32657125
stream 32597867
stream 32640808
stream 32651166
stream 32669080
stream 32633856
stream 32720925
stream 32695604
stream 32621114
stream 32647640
stream 32578834
stream 32723904
stream 32605912
stream 32637485
stream 32571541
stream 32649819
stream 32686461
stream 32655942
stream 32688424
stream 32646647
stream 32658855
stream 32638903
stream 32642511
stream 32566656
stream 32710144
stream 32764440
stream 32679107
stream 32713015
stream 32646001
stream 32652946
stream 32575464
stream 32674164
stream 32707368
stream 32750567
stream 32678543
stream 32623799
stream 32624884
stream 32607153
stream 32684008
stream 32567975
stream 32714112
stream 32624262
stream 32691831
stream 32595755
stream 32715947
stream 32685796
stream 32610633
stream 32657829
stream 32554356
stream 32656823
stream 32566711
stream 32723989
stream 32620843
stream 32694358
stream 32646418
stream 32675916
stream 32752931
stream 32643627
stream 32655521
stream 32631729
stream 32700059
stream 32555657
stream 32674691
stream 32628462
stream 32605147
stream 32676215
stream 32633996
stream 32703811
stream 32608387
stream 32685108
stream 32610563
stream 32661230
stream 32692957
stream 32689173
stream 32653440
stream 32604605
stream 32650539
stream 32629577
stream 32715559
stream 32598242
stream 32740190
stream 32608067
stream 32665039
stream 32658926
stream 32610581
stream 32757995
stream 32616869
stream 32629214
stream 32675327
stream 32700806
stream 32606866
stream 32714078
stream 32624820
stream 32633798
stream 32652989
stream 32620617
stream 32630720
stream 32612200
stream 32694884
stream 32601819
stream 32695616
stream 32598323
stream 32643871
stream 32623829
stream 32599269
stream 32674721
stream 32621038
stream 32666908
stream 32537009
stream 32634380
stream 32633338
stream 32683901
stream 32616509
stream 32723423
stream 32610478
stream 32598677
stream 32662881
stream 32577055
stream 32661337
stream 32590052
stream 32654988
stream 32591049
stream 32706365
stream 32699493
stream 32595721
stream 32651742
stream 32608710
stream 32687994
stream 32540349
stream 32652224
stream 32598918
stream 32658639
stream 32646714
stream 32653773
stream 32650307
stream 32568604
stream 32653785
stream 32628831
stream 32635154
stream 32627946
stream 32644236
stream 32588045
stream 32664927
stream 32614732
stream 32685221
stream 32705664
stream 32658411
stream 32640019
stream 32585067
stream 32671827
stream 32630318
stream 32642612
stream 32622162
stream 32645342
stream 32726326
stream 32620059
stream 32624838
stream 32615735
stream 32698112
stream 32634082
stream 32675160
stream 32615204
stream 32614321
stream 32685754
stream 32607954
stream 32596986
stream 32609006
stream 32666109
stream 32573470
stream 32701163
stream 32630495
stream 32625228
stream 32622029
stream 32641018
stream 32670479
stream 32649222
stream 32725421
stream 32650673
stream 32680786
stream 32793213
stream 32644696
stream 32593198
stream 33174945
stream 32769618
stream 32667590
stream 32692733
stream 32603843
stream 32768472
stream 32616463
stream 32637943
stream 32600866
stream 32643651
stream 32640381
stream 32613272
stream 32623034
stream 32548751
stream 32629233
stream 32629708
stream 32675078
stream 32603895
stream 32644608
stream 32630559
stream 32597686
stream 32670250
stream 32701202
stream 32682600
stream 32624877
stream 32710183
stream 32580581
stream 32664545
stream 32566425
stream 32631214
stream 32672747
stream 32598333
stream 32668337
stream 32649859
stream 32682131
stream 32667526
stream 32665292
stream 32584086
stream 32705612
stream 32581982
stream 32588581
stream 32611060
stream 32629982
stream 32661120
stream 32628758
stream 32671790
stream 32600031
stream 32650712
stream 32597827
stream 32639451
stream 32672869
stream 32620882
stream 32644254
stream 32598403
stream 32692227
stream 32575683
stream 32638665
stream 32600299
stream 32662098
stream 32691361
stream 32683328
stream 32601006
stream 32605193
stream 32661190
stream 32623430
stream 32636193
stream 32585383
stream 32683337
stream 32580474
stream 32688875
stream 32652839
stream 32630717
stream 32715470
stream 32585131
stream 32684474
stream 32651861
stream 32714597
stream 32595773
stream 32650901
stream 32615043
stream 32601737
stream 32667926
stream 32604797
stream 32715706
stream 32611270
stream 32656625
stream 32604547
