STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 32462433
stream 32409341
stream 32429760
stream 32476721
stream 32512329
stream 32463616
stream 32539188
stream 32464247
stream 32465646
stream 32465390
stream 32423016
stream 32524730
stream 32431223
stream 32461958
stream 32443712
stream 32498340
stream 32427691
stream 32522773
stream 32428501
stream 32441304
stream 32460593
stream 32514846
stream 32394850
stream 32528722
stream 32484422
stream 32444843
stream 32467785
stream 32468715
stream 32481405
stream 32415430
stream 32472411
stream 32440155
stream 32433838
stream 32505009
stream 32593499
stream 32391637
stream 32484696
stream 32443459
stream 32419169
stream 32439446
stream 32463165
stream 32483194
stream 32400582
stream 32515270
stream 32413126
stream 32478498
stream 32427587
stream 32499825
stream 32377002
stream 32501236
stream 32404694
stream 32520643
stream 32439952
stream 32424826
stream 32495991
stream 32396258
stream 32437562
stream 32401664
stream 32517769
stream 32427852
stream 32488155
stream 32439649
stream 32584459
stream 32488969
stream 32505496
stream 32469760
stream 32467968
stream 32483075
stream 32484617
stream 32460447
stream 32472390
stream 32510357
stream 32469614
stream 32494461
stream 32404605
stream 32508787
stream 32417149
stream 32499483
stream 32496045
stream 32457353
stream 32462549
stream 32446367
stream 32472256
stream 32441066
stream 32469815
stream 32396489
stream 32509793
stream 32427904
stream 32525745
stream 32482262
stream 32477608
stream 32462406
stream 32527979
stream 32530935
stream 32485248
stream 32512025
stream 32467297
stream 32494665
stream 32441652
stream 32692739
stream 32459395
stream 32482993
stream 32567079
stream 32509016
stream 32469970
stream 32421410
stream 32501980
stream 32427182
stream 32492648
stream 32445145
stream 32472890
stream 32407905
stream 32572962
stream 32409438
stream 32494946
stream 32382982
stream 32483514
stream 32419623
stream 32506880
stream 32471232
stream 32418027
stream 32490596
stream 32446958
stream 32485062
stream 32434859
stream 32505216
stream 32425402
stream 32494838
stream 32445239
stream 32462028
stream 32391314
stream 32514840
stream 32481618
stream 32437029
stream 32452334
stream 32464512
stream 32471308
stream 32398431
stream 32444272
stream 32406808
stream 32478425
stream 32464040
stream 32506389
stream 32437665
stream 32490112
stream 32385911
stream 32496698
stream 32454885
stream 32411206
stream 32437742
stream 32455345
stream 32537192
stream 32404861
stream 32462037
stream 32442496
stream 32459243
stream 32408823
stream 32494781
stream 32431058
stream 32473901
stream 32406501
stream 32429403
stream 32483931
stream 32451758
stream 32451740
stream 32424435
stream 32515026
stream 32432432
stream 32482889
stream 33044982
stream 32554213
stream 32440853
stream 32530411
stream 32565733
stream 32468255
stream 32501985
stream 32426173
stream 32445702
stream 32456698
stream 32479638
stream 32491475
stream 32610499
stream 32454756
stream 32470345
stream 32436510
stream 32468702
stream 32479777
stream 32513883
stream 32522666
stream 32476900
stream 32493656
stream 32422522
stream 32487954
stream 32422427
stream 32517032
stream 32416883
stream 32493836
stream 32385125
stream 32517852
stream 32436654
stream 32476367
stream 32492468
stream 32452334
stream 32494464
stream 32454567
stream 32487141
stream 32432204
stream 32508053
stream 32446287
stream 32500650
stream 32408037
stream 32507681
stream 32441048
stream 32479442
stream 32466240
stream 32404690
stream 32476090
stream 32439619
stream 32488067
stream 32440554
stream 32508620
stream 32400338
stream 32487808
stream 32411124
stream 32455464
stream 32409252
stream 32496683
stream 32515980
stream 32464999
stream 32521127
stream 32402145
stream 32510577
stream 32581242
stream 32579136
stream 32446628
stream 32490021
stream 32455744
stream 32532416
stream 32453735
stream 32467484
stream 32528960
stream 32453644
stream 32499514
stream 32443102
stream 32458935
stream 32446028
stream 32506648
stream 32411200
stream 32496537
stream 32417627
stream 32485398
stream 32428361
stream 32458267
stream 32451904
stream 32534696
stream 37638588
stream 34015395
stream 33408509
stream 32986850
stream 32592011
stream 32510208
stream 32427114
stream 32480013
stream 32497234
stream 32388346
stream 32476321
stream 32451295
stream 32460909
stream 32432158
stream 32513115
stream 32359765
stream 32436614
stream 32465811
stream 32463726
stream 32447796
stream 32474198
stream 32401021
stream 32519262
stream 32473929
stream 32437193
stream 32498712
stream 32418542
stream 32556611
stream 32429799
stream 32458237
stream 46076818
stream 38368278
stream 36699856
stream 35967984
stream 35349000
stream 34729459
stream 34221315
stream 33778511
stream 33254578
stream 32887306
stream 32459261
stream 32433109
stream 32499395
stream 32415046
stream 32434401
stream 32420776
stream 32456399
stream 32426703
stream 32507130
stream 32428629
stream 32558940
stream 32406120
stream 32435867
stream 32422415
stream 32508986
stream 32455985
stream 32462056
stream 32513606
stream 32438659
stream 32482188
stream 32394865
stream 32503836
stream 32411133
stream 32448673
stream 32423372
stream 32462394
stream 32442393
stream 32480677
stream 32516087
stream 32460782
stream 32461638
stream 32410152
stream 32484093
stream 32438196
stream 32496073
stream 32429108
stream 32454564
stream 32461903
stream 32472835
stream 32416758
stream 32468544
stream 32364386
stream 32484032
stream 32510979
stream 32439722
stream 32471948
stream 32443426
stream 32474203
stream 32349172
stream 32474124
stream 32433088
stream 32480597
stream 32389791
stream 32502708
stream 32431503
stream 32446464
stream 32473755
stream 32435520
stream 32516519
stream 32418042
stream 32493095
stream 32455177
stream 32613763
stream 32392673
stream 32461232
stream 32400865
stream 32488829
stream 32446665
stream 32452349
stream 32391869
stream 32478166
stream 33019618
stream 32602938
stream 32594188
stream 32472427
stream 32575046
stream 32426889
stream 32511073
stream 32432454
stream 32508934
stream 32448028
stream 32586761
stream 32474283
stream 32430253
stream 32518223
stream 32472201
stream 32500654
stream 32446293
stream 32506804
stream 32431120
stream 32516297
stream 32457036
stream 32484816
stream 32417707
stream 32532821
stream 32439193
stream 32471917
stream 32508840
stream 32435160
stream 32477318
stream 32466478
stream 32505186
stream 32412449
stream 32514417
stream 32487820
stream 32514325
stream 32482298
stream 32473484
stream 32461907
stream 32445839
stream 32474487
stream 32407424
stream 32552259
stream 32420364
stream 32522883
stream 32425365
stream 32439363
stream 32401381
stream 32460458
stream 32384332
stream 32497761
stream 32428489
stream 32469519
stream 32485083
stream 32401548
stream 32489274
stream 32405547
stream 32477805
stream 32448393
stream 32455942
stream 32432942
stream 32501818
stream 32422607
stream 32493663
stream 32542421
stream 32596392
stream 32474133
stream 32487028
stream 32446256
stream 32407632
stream 32486208
stream 32417734
stream 32498904
stream 32418734
stream 32485062
stream 32469723
stream 32490410
stream 32441277
stream 32450593
stream 32416170
stream 32520162
stream 32446903
stream 32438308
stream 32436337
stream 32446452
stream 32438199
stream 32429723
stream 32468051
stream 32425069
stream 32512811
stream 32397912
stream 32519223
stream 32411660
stream 32494748
stream 32416253
stream 32453854
stream 32477635
stream 32446921
stream 32452029
stream 32468861
stream 32496351
stream 32472445
stream 32485456
stream 32422083
stream 32457877
stream 32434414
stream 32471226
stream 32452590
stream 32514096
stream 32495592
stream 32455369
stream 32475267
stream 32421793
stream 32455915
stream 32467017
stream 32491517
stream 32454211
stream 32487037
stream 32411770
stream 32472609
stream 32451609
stream 32489917
stream 32517263
stream 32495756
stream 32538423
stream 32394913
stream 32489094
stream 32445446
stream 32547459
stream 32483880
stream 32505051
